parametre,ICC,stable
original_shape_MajorAxisLength,0.9887,1
original_gldm_DependenceVariance,0.9649,1
original_gldm_DependenceNonUniformityNormalized,0.9472,1
original_glcm_InverseVariance,0.9194,1
original_glszm_SmallAreaEmphasis,0.9182,1
original_glszm_SizeZoneNonUniformityNormalized,0.9101,1
original_firstorder_90Percentile,0.9065,1
original_gldm_SmallDependenceEmphasis,0.9050,1
original_shape_Maximum2DDiameterSlice,0.8999,1
original_glrlm_RunVariance,0.8833,1
original_shape_Elongation,0.8734,1
original_shape_MinorAxisLength,0.8608,1
original_glszm_GrayLevelNonUniformity,0.8601,1
original_glszm_ZoneVariance,0.8451,1
original_gldm_LargeDependenceEmphasis,0.8451,1
original_glszm_LargeAreaEmphasis,0.8451,1
original_shape_Maximum2DDiameterColumn,0.8410,1
original_glrlm_LongRunEmphasis,0.8339,1
original_glrlm_RunPercentage,0.8214,1
original_gldm_GrayLevelNonUniformity,0.7994,1
original_glszm_ZonePercentage,0.7787,1
original_shape_Maximum3DDiameter,0.7778,1
original_glrlm_RunLengthNonUniformityNormalized,0.7567,1
original_glrlm_GrayLevelNonUniformity,0.7294,0
original_glrlm_ShortRunEmphasis,0.7264,0
original_shape_SurfaceArea,0.7101,0
original_shape_Maximum2DDiameterRow,0.6996,0
original_glcm_Id,0.6875,0
original_glcm_Idm,0.6710,0
original_glcm_DifferenceAverage,0.5929,0
original_glcm_MaximumProbability,0.5816,0
original_firstorder_Median,0.5574,0
original_shape_Flatness,0.5169,0
original_glszm_SizeZoneNonUniformity,0.5074,0
original_shape_LeastAxisLength,0.4949,0
original_glszm_LargeAreaLowGrayLevelEmphasis,0.4548,0
original_glcm_DifferenceEntropy,0.4352,0
original_gldm_DependenceNonUniformity,0.4163,0
original_shape_MeshVolume,0.4132,0
original_shape_VoxelVolume,0.4132,0
original_ngtdm_Coarseness,0.4112,0
original_glcm_Contrast,0.4100,0
original_glcm_JointEnergy,0.3762,0
original_ngtdm_Busyness,0.3506,0
original_firstorder_Maximum,0.3080,0
original_ngtdm_Contrast,0.3078,0
original_glrlm_RunLengthNonUniformity,0.3051,0
original_glszm_GrayLevelNonUniformityNormalized,0.2987,0
original_firstorder_Mean,0.2674,0
original_glcm_Idmn,0.2453,0
original_glcm_Idn,0.2449,0
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.2406,0
original_glrlm_LongRunLowGrayLevelEmphasis,0.2401,0
original_glcm_JointEntropy,0.2330,0
original_glszm_LowGrayLevelZoneEmphasis,0.2317,0
original_glcm_DifferenceVariance,0.2308,0
original_firstorder_RootMeanSquared,0.2249,0
original_firstorder_Uniformity,0.2193,0
original_glszm_SmallAreaLowGrayLevelEmphasis,0.2081,0
original_shape_SurfaceVolumeRatio,0.2051,0
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.2050,0
original_glszm_ZoneEntropy,0.1916,0
original_glrlm_ShortRunLowGrayLevelEmphasis,0.1867,0
original_firstorder_Energy,0.1864,0
original_firstorder_TotalEnergy,0.1864,0
original_glrlm_LowGrayLevelRunEmphasis,0.1857,0
original_gldm_LowGrayLevelEmphasis,0.1749,0
original_shape_Sphericity,0.1690,0
original_ngtdm_Strength,0.1629,0
original_firstorder_Range,0.1623,0
original_ngtdm_Complexity,0.1607,0
original_firstorder_Entropy,0.1593,0
original_firstorder_RobustMeanAbsoluteDeviation,0.1541,0
original_firstorder_InterquartileRange,0.1518,0
original_glcm_SumEntropy,0.1448,0
original_firstorder_10Percentile,0.1432,0
original_firstorder_Skewness,0.1403,0
original_firstorder_MeanAbsoluteDeviation,0.1343,0
original_glrlm_GrayLevelNonUniformityNormalized,0.1313,0
original_firstorder_Kurtosis,0.1260,0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.1259,0
original_glszm_LargeAreaHighGrayLevelEmphasis,0.1258,0
original_glrlm_LongRunHighGrayLevelEmphasis,0.1251,0
original_glrlm_RunEntropy,0.1218,0
original_firstorder_Variance,0.1161,0
original_gldm_GrayLevelVariance,0.1160,0
original_glcm_SumAverage,0.1135,0
original_glcm_JointAverage,0.1135,0
original_glcm_SumSquares,0.1124,0
original_firstorder_Minimum,0.1082,0
original_glrlm_HighGrayLevelRunEmphasis,0.1076,0
original_gldm_HighGrayLevelEmphasis,0.1075,0
original_glcm_Autocorrelation,0.1075,0
original_glszm_SmallAreaHighGrayLevelEmphasis,0.1055,0
original_glszm_HighGrayLevelZoneEmphasis,0.1048,0
original_glrlm_ShortRunHighGrayLevelEmphasis,0.1044,0
original_glrlm_GrayLevelVariance,0.1038,0
original_glcm_ClusterTendency,0.1038,0
original_gldm_DependenceEntropy,0.1028,0
original_glcm_Imc1,0.0980,0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0937,0
original_glcm_ClusterShade,0.0885,0
original_glcm_Imc2,0.0749,0
original_glcm_Correlation,0.0729,0
original_glcm_ClusterProminence,0.0513,0
original_glcm_MCC,0.0503,0
original_glszm_GrayLevelVariance,0.0439,0
