id,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
SYNTH_001,3592.725897,607.692571,481.963286,0.341446,796.478599,4336.958245,0.225309,54.682615,0.304547,6169.479057,3967.979154,0.136401,4878.290682,0.382209,0.693595,14.630418,1.199592,6.991745,5182.106364,40.975793,55.285588,4.376169,55.851482,673.500967,4128.726417,8527.30902,3044.066846,5.959941,6237.499587,0.338004,41.953678,4.998717,73.811821,692.353111,260.297653,47.925488,0.230905,2.723473,733.468906,7.979814,2683.92324,0.536951,81.667294,8020.165939,275.394264,4.24944,48.2942,65.421793,0.426086,6392.79821,9.57942,20.226939,2.759354,0.549385,9232.779245,5.036659,3.852067,366.0612,1.067229,-0.435423,0.417803,1012.161983,0.563959,90.698924,235.968691,3500.71616,0.214483,0.726424,46.951827,3.069177,0.326604,14.820979,0.309241,8.211961,48.278142,4359.192863,39.639382,31.101289,4.566431,0.627258,6.422626,66.896033,0.358782,0.543028,43.752353,6.421326,4328.128847,767.843502,4.187375,0.911946,336.730132,244.988068,251.120862,0.283971,-0.028768,111.096293,15.199298,1.440693,0.28635,9.53805,3.738242,209.040739,-0.056922,1482.581072,0.265796,0.298549,-0.097674
SYNTH_002,6750.407366,596.346645,594.707291,0.60063,425.236708,5508.621703,0.577403,45.937014,0.596336,4480.33491,5655.344231,0.482488,5776.912289,0.542313,0.534543,53.067857,5.41598,4.76982,4599.002558,63.04915,47.27641,5.991853,58.158943,486.101765,5271.858359,4912.786944,5875.956625,6.48895,4179.288322,0.584799,53.905315,6.217096,48.871379,540.865643,622.624674,39.534339,0.47016,6.839707,362.626596,4.168,5144.411839,0.536682,61.027281,2832.768324,553.845228,5.624781,52.697297,49.03654,0.493657,2728.74508,4.569217,58.401301,4.510682,0.459702,4002.359651,4.332427,2.497824,6477.595974,0.366031,68.963043,0.603118,523.826457,0.210042,40.251344,440.59729,6117.494823,0.528981,0.52441,42.944713,6.973948,0.466651,56.846272,0.561244,4.513455,59.37372,5511.688685,48.844351,71.688138,4.547575,0.432498,4.120668,46.32249,0.402808,0.447648,33.861287,3.394061,5210.713029,414.1414,4.741109,0.442613,509.635095,465.298166,545.122654,0.704733,0.622354,652.259712,805.982959,6.594067,0.616566,69.461939,64.127257,590.533154,0.663949,6705.380904,0.602499,0.652775,0.615636
SYNTH_003,5530.0791,412.953921,560.264581,0.640491,388.511123,6285.342755,0.52315,45.755868,0.530071,4539.803432,6518.97294,0.693561,5677.720369,0.475602,0.366291,71.140396,5.650782,4.675845,6151.785201,63.175975,33.060663,5.91626,49.324877,468.798516,6385.250056,3339.290256,5366.979275,5.101205,5068.91116,0.61723,55.706293,5.17348,45.687673,287.602749,610.255449,53.367863,0.606248,5.823308,440.030036,3.037671,5310.544519,0.502587,43.610361,3686.568907,594.509223,4.733401,57.016701,48.32838,0.481336,3037.818033,4.140845,54.349847,6.243227,0.46582,2782.930752,4.949038,5.510434,6807.78261,0.379476,82.360743,0.54763,267.860042,0.50642,28.971255,677.464573,6088.930858,0.554854,0.407435,44.185645,6.548028,0.615073,67.67012,0.568255,4.679733,48.152653,5683.777006,56.308851,55.283371,4.509459,0.498148,4.664445,49.775856,0.477855,0.523699,51.896285,4.905688,4893.315995,425.991959,5.603103,0.315233,500.891232,573.616333,811.084567,0.602346,0.847106,636.22642,783.537909,7.637025,0.603844,79.662228,65.591954,679.060475,0.698052,6034.265245,0.710266,0.563915,0.735629
SYNTH_004,3682.324993,292.756925,590.724809,0.575044,369.761123,3957.382756,0.634794,61.675466,0.511774,1842.962528,5591.743832,0.628103,4598.663114,0.56385,0.202953,54.836532,7.565406,1.960287,4423.005227,53.195076,75.58912,2.074469,33.008295,432.298137,6975.357553,3210.311163,6654.600998,2.474697,6261.658444,0.600139,43.319179,5.320321,42.886708,237.157951,489.154393,69.151925,0.815308,5.585959,306.661037,3.612678,4500.471398,0.471961,24.690203,4024.903505,612.602114,5.793187,48.053384,53.606902,0.47551,4486.969356,2.811866,65.733627,6.438474,0.808493,4293.014341,8.625322,7.088944,5093.578606,0.386854,79.605611,0.305271,294.615697,0.905301,58.168969,882.075769,2638.097033,0.786058,0.447355,51.760852,3.762812,0.813021,33.682633,0.577569,2.190107,33.575661,3749.508996,58.662371,25.879295,6.072909,0.731921,3.258821,45.84388,0.684892,0.433387,62.634841,5.82428,5722.804424,513.195153,6.155213,0.5528,698.735364,435.718371,543.715723,0.353818,0.499467,550.646738,551.210338,4.372908,0.202517,33.82629,36.214767,500.425596,0.310075,5319.154807,0.519881,0.392493,0.785694
SYNTH_005,4156.233447,404.808921,531.529139,0.656313,343.709617,4185.199837,0.588233,53.620699,0.531307,2867.359773,6407.084265,0.521212,4064.78515,0.459859,0.426601,51.250528,6.165829,3.970996,5048.940153,42.32742,56.703262,2.92694,39.8757,380.693152,5965.34333,3721.399276,6399.427686,4.6271,6056.353566,0.562952,39.7401,4.412031,50.835524,280.911772,564.469222,53.932335,0.761185,3.450747,341.172891,4.037864,5503.4702,0.566619,25.810296,3773.916211,584.459604,5.730674,49.852301,47.072417,0.385902,5565.475177,3.974115,61.714888,6.623919,0.647845,4395.312806,6.791664,6.877709,5626.027003,0.292337,57.371852,0.344645,298.258115,0.765387,47.361447,783.597996,2279.863961,0.679054,0.538236,50.257395,3.753053,0.585253,55.873642,0.582995,3.023055,38.270399,5170.212773,58.079861,41.089623,5.776629,0.635049,4.631227,51.863915,0.592862,0.60686,54.110391,5.389342,6344.641755,547.946408,4.35587,0.499814,641.062989,586.359605,611.958367,0.362197,0.532742,545.645843,541.266447,5.118687,0.412589,37.784629,46.638905,545.91774,0.349398,5448.044675,0.450374,0.472146,0.664892
SYNTH_006,6945.236927,180.269237,292.407047,0.65587,205.903875,5958.766595,0.446241,54.271228,0.871721,7837.119362,6488.280893,0.68333,5582.25307,0.535289,0.245255,37.812118,6.456447,6.404752,6391.357243,90.591231,65.462813,3.602907,46.91777,383.831106,10133.176417,4957.647405,2886.981261,5.995895,5657.831483,0.678089,42.918059,9.093798,13.872557,764.303721,730.960536,78.738998,0.594998,8.21343,893.569261,3.673914,4367.314751,0.883479,60.40847,3747.217521,413.91556,6.175057,32.442165,31.897903,0.336015,-326.374058,6.435521,76.914998,3.7239,0.966633,1544.932119,3.176737,0.750048,6430.32995,0.556432,67.387345,0.778447,-110.848735,0.09857,28.069856,475.679126,10817.822743,0.342768,0.684146,32.313095,5.775841,0.61402,67.16333,0.685022,6.355422,58.59298,6288.292322,24.701143,93.109014,8.173145,0.404371,5.117197,31.455276,-0.03945,0.150563,27.17553,-1.093762,1200.300276,342.856478,7.885713,0.560674,273.2941,451.779479,218.057138,0.767655,0.937639,861.743935,517.950561,5.729578,1.025792,67.034855,71.539557,647.688517,0.742184,8760.08264,0.833643,0.271586,0.776377
SYNTH_007,8456.70475,631.435346,427.177081,0.486324,628.480507,7109.920161,0.577569,45.231028,0.679934,8754.898312,5346.977892,0.514051,5307.174358,0.615368,0.718562,65.870544,4.43422,7.791448,4886.06076,87.788709,-2.571209,10.607929,66.786585,470.289202,4068.135581,4563.730719,5534.220133,7.287648,2205.102923,0.54644,52.016144,6.185528,45.372203,909.252732,706.015424,33.665025,0.102121,8.865085,575.09046,4.779447,5862.262528,0.570855,55.044653,5777.048554,535.836488,5.086037,64.250143,39.444719,0.470067,3727.801777,3.816231,49.542482,2.005779,0.166364,4062.710896,0.171267,0.639855,9208.628096,0.130414,60.36802,0.796384,412.278385,-0.097914,25.684342,336.700381,10424.347217,0.112273,0.408462,36.572191,9.71699,0.146945,93.171703,0.551803,5.444607,75.236533,5457.744688,38.247966,98.087789,4.818762,0.007643,3.981692,38.848816,0.425193,0.317206,46.888116,2.362007,5831.726589,148.275744,5.12839,0.225459,400.875622,630.696032,607.891236,0.989551,0.934813,632.656363,898.6312,8.390324,0.901042,117.807462,115.118365,800.046762,1.198979,6792.658242,0.806316,0.845933,0.395188
SYNTH_008,6134.479871,583.478114,363.934145,0.46094,723.41917,4910.261616,0.367177,44.957957,0.417045,7328.759922,5543.011996,0.359368,5609.170061,0.491289,0.88558,46.021125,2.696601,6.209491,4201.048528,52.865784,38.679644,7.470934,73.640028,522.217122,3502.035145,6762.322133,3472.106224,6.216737,5137.314571,0.502997,42.751728,3.938316,60.695691,832.750971,441.175091,32.380208,0.212248,5.398254,544.883312,7.176332,4911.584353,0.580042,69.053881,8020.465084,410.432547,4.525125,50.102017,47.865159,0.487828,5893.77421,6.668474,30.293307,3.696221,0.31842,6906.526717,3.314728,3.318785,2726.584524,0.678141,32.486034,0.632102,779.357196,0.23009,64.159696,232.411521,7964.381616,0.229693,0.562149,40.141334,6.026236,0.232409,44.21913,0.377353,7.621473,63.813461,4490.977427,39.534237,55.831562,4.093481,0.457451,6.471082,54.964564,0.391688,0.568565,46.047413,5.593429,4219.538089,578.533633,2.65941,0.651988,323.729921,532.464613,415.880934,0.61741,0.267563,329.061318,397.863941,3.549796,0.551538,55.323823,51.648004,351.056331,0.534118,4456.250018,0.440459,0.464836,0.220082
SYNTH_009,3870.200252,521.581154,394.744486,0.590056,518.004097,4223.685717,0.541434,46.835177,0.420769,4770.379418,6214.403644,0.375093,6322.496486,0.370455,0.6183,38.276218,5.086667,6.665167,4811.825304,54.839656,49.34064,4.61596,43.389445,582.651412,4676.2333,6368.686606,3719.834235,5.090625,5383.220667,0.351631,33.232736,5.428514,50.473015,587.240876,426.658396,43.509023,0.350772,4.578014,662.27969,6.180869,2936.118474,0.465598,54.870322,6159.057084,319.301797,5.480777,48.336639,43.603955,0.590021,6380.609778,6.59386,51.327173,4.580628,0.538569,6011.535325,5.707532,4.566781,2290.019198,0.854276,37.759205,0.507451,668.174821,0.445225,67.497364,474.934155,4811.462999,0.47362,0.610708,50.708118,3.122314,0.54751,31.176104,0.527322,6.394617,50.80598,5585.243677,38.23916,37.313391,5.135792,0.635437,5.728042,57.668653,0.359729,0.532118,52.096008,5.575804,3913.745348,492.117508,5.254728,0.647974,352.787768,419.094429,301.177178,0.43659,0.248196,394.232881,266.926542,3.517332,0.394705,31.123682,48.330404,447.134599,0.304345,4047.02372,0.275222,0.344696,0.336951
SYNTH_010,4342.591879,818.240805,530.850855,0.289391,574.384159,5112.533824,0.633072,54.934164,0.326213,3460.442469,3025.85777,0.467196,4628.752494,0.571959,0.784235,90.719602,5.577007,4.190129,5508.512461,26.290953,20.601565,7.566432,67.466194,414.637837,1802.01048,5414.77622,7711.605557,4.228044,2632.242688,0.313042,60.718776,2.111372,100.641316,418.140596,555.307739,13.262515,0.492736,4.094905,22.258368,6.617734,6512.617159,0.16978,53.826682,5845.457914,501.1675,4.128181,73.170961,69.707053,0.660013,8764.505639,2.348737,21.592347,5.68561,-0.038061,6880.399141,5.236141,7.697851,6517.774612,0.302371,44.718965,0.354676,796.51753,0.486507,73.472897,574.835118,1382.185391,0.42698,0.147639,74.776442,6.293667,0.21299,70.693082,0.279205,5.46156,42.303059,4137.37428,77.680265,23.87146,2.927052,0.437765,4.777891,58.617708,0.93992,0.797474,71.424467,8.831475,8936.040614,425.685926,3.204338,0.222256,797.68178,713.949017,906.061644,0.574251,0.390081,323.961246,737.292789,6.464728,0.261984,72.660348,64.203335,540.029554,0.89798,4635.015962,0.39283,0.881392,0.251917
